PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
75,1,3," Mr. Lee Bing",male,32,0,0,1601,56.4958,,S
76,0,3," Mr. Sigurd Hansen Moen",male,25,0,0,348123,7.65,F G73,S
77,0,3," Mr. Ivan Staneff",male,,0,0,349208,7.8958,,S
78,0,3," Mr. Rahamin Haim Moutal",male,,0,0,374746,8.05,,S
79,1,2," Master. Alden Gates Caldwell",male,0.83,0,2,248738,29,,S
80,1,3," Miss. Elizabeth Dowdell",female,30,0,0,364516,12.475,,S
81,0,3," Mr. Achille Waelens",male,22,0,0,345767,9,,S
82,1,3," Mr. Jan Baptist Sheerlinck",male,29,0,0,345779,9.5,,S
83,1,3," Miss. Brigdet Delia McDermott",female,,0,0,330932,7.7875,,Q
84,0,1," Mr. Francisco M Carrau",male,28,0,0,113059,47.1,,S
85,1,2," Miss. Bertha Ilett",female,17,0,0,SO/C 14885,10.5,,S
86,1,3," Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom",female,33,3,0,3101278,15.85,,S
87,0,3," Mr. William Neal Ford",male,16,1,3,W./C. 6608,34.375,,S
88,0,3," Mr. Selman Francis Slocovski",male,,0,0,SOTON/OQ 392086,8.05,,S
89,1,1," Miss. Mabel Helen Fortune",female,23,3,2,19950,263,C23 C25 C27,S
90,0,3," Mr. Francesco Celotti",male,24,0,0,343275,8.05,,S
91,0,3," Mr. Emil Christmann",male,29,0,0,343276,8.05,,S
92,0,3," Mr. Paul Edvin Andreasson",male,20,0,0,347466,7.8542,,S
93,0,1," Mr. Herbert Fuller Chaffee",male,46,1,0,W.E.P. 5734,61.175,E31,S
94,0,3," Mr. Bertram Frank Dean",male,26,1,2,C.A. 2315,20.575,,S
95,0,3," Mr. Daniel Coxon",male,59,0,0,364500,7.25,,S
96,0,3," Mr. Charles Joseph Shorney",male,,0,0,374910,8.05,,S
97,0,1," Mr. George B Goldschmidt",male,71,0,0,PC 17754,34.6542,A5,C
98,1,1," Mr. William Bertram Greenfield",male,23,0,1,PC 17759,63.3583,D10 D12,C
99,1,2," Mrs. John T (Ada Julia Bone) Doling",female,34,0,1,231919,23,,S
100,0,2," Mr. Sinai Kantor",male,34,1,0,244367,26,,S
101,0,3," Miss. Matilda Petranec",female,28,0,0,349245,7.8958,,S
102,0,3," Mr. Pastcho (""Pentcho"") Petroff",male,,0,0,349215,7.8958,,S
103,0,1," Mr. Richard Frasar White",male,21,0,1,35281,77.2875,D26,S
104,0,3," Mr. Gustaf Joel Johansson",male,33,0,0,7540,8.6542,,S
105,0,3," Mr. Anders Vilhelm Gustafsson",male,37,2,0,3101276,7.925,,S
106,0,3," Mr. Stoytcho Mionoff",male,28,0,0,349207,7.8958,,S
107,1,3," Miss. Anna Kristine Salkjelsvik",female,21,0,0,343120,7.65,,S
108,1,3," Mr. Albert Johan Moss",male,,0,0,312991,7.775,,S
109,0,3," Mr. Tido Rekic",male,38,0,0,349249,7.8958,,S
110,1,3," Miss. Bertha Moran",female,,1,0,371110,24.15,,Q
111,0,1," Mr. Walter Chamberlain Porter",male,47,0,0,110465,52,C110,S
112,0,3," Miss. Hileni Zabour",female,14.5,1,0,2665,14.4542,,C
113,0,3," Mr. David John Barton",male,22,0,0,324669,8.05,,S
114,0,3," Miss. Katriina Jussila",female,20,1,0,4136,9.825,,S
115,0,3," Miss. Malake Attalah",female,17,0,0,2627,14.4583,,C
116,0,3," Mr. Edvard Pekoniemi",male,21,0,0,STON/O 2. 3101294,7.925,,S
117,0,3," Mr. Patrick Connors",male,70.5,0,0,370369,7.75,,Q
118,0,2," Mr. William John Robert Turpin",male,29,1,0,11668,21,,S
119,0,1," Mr. Quigg Edmond Baxter",male,24,0,1,PC 17558,247.5208,B58 B60,C
120,0,3," Miss. Ellis Anna Maria Andersson",female,2,4,2,347082,31.275,,S
121,0,2," Mr. Stanley George Hickman",male,21,2,0,S.O.C. 14879,73.5,,S
122,0,3," Mr. Leonard Charles Moore",male,,0,0,A4. 54510,8.05,,S
123,0,2," Mr. Nicholas Nasser",male,32.5,1,0,237736,30.0708,,C
124,1,2," Miss. Susan Webber",female,32.5,0,0,27267,13,E101,S
125,0,1," Mr. Percival Wayland White",male,54,0,1,35281,77.2875,D26,S
126,1,3," Master. Elias Nicola-Yarred",male,12,1,0,2651,11.2417,,C
127,0,3," Mr. Martin McMahon",male,,0,0,370372,7.75,,Q
128,1,3," Mr. Fridtjof Arne Madsen",male,24,0,0,C 17369,7.1417,,S
129,1,3," Miss. Anna Peter",female,,1,1,2668,22.3583,F E69,C
130,0,3," Mr. Johan Ekstrom",male,45,0,0,347061,6.975,,S
131,0,3," Mr. Jozef Drazenoic",male,33,0,0,349241,7.8958,,C
132,0,3," Mr. Domingos Fernandeo Coelho",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S
133,0,3," Mrs. Alexander A (Grace Charity Laury) Robins",female,47,1,0,A/5. 3337,14.5,,S
134,1,2," Mrs. Leopold (Mathilde Francoise Pede) Weisz",female,29,1,0,228414,26,,S
135,0,2," Mr. Samuel James Hayden Sobey",male,25,0,0,C.A. 29178,13,,S
136,0,2," Mr. Emile Richard",male,23,0,0,SC/PARIS 2133,15.0458,,C
137,1,1," Miss. Helen Monypeny Newsom",female,19,0,2,11752,26.2833,D47,S
138,0,1," Mr. Jacques Heath Futrelle",male,37,1,0,113803,53.1,C123,S
139,0,3," Mr. Olaf Elon Osen",male,16,0,0,7534,9.2167,,S
140,0,1," Mr. Victor Giglio",male,24,0,0,PC 17593,79.2,B86,C
141,0,3," Mrs. Joseph (Sultana) Boulos",female,,0,2,2678,15.2458,,C
142,1,3," Miss. Anna Sofia Nysten",female,22,0,0,347081,7.75,,S
143,1,3," Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen",female,24,1,0,STON/O2. 3101279,15.85,,S
144,0,3," Mr. Jeremiah Burke",male,19,0,0,365222,6.75,,Q
145,0,2," Mr. Edgardo Samuel Andrew",male,18,0,0,231945,11.5,,S
146,0,2," Mr. Joseph Charles Nicholls",male,19,1,1,C.A. 33112,36.75,,S
147,1,3," Mr. August Edvard (""Wennerstrom"") Andersson",male,27,0,0,350043,7.7958,,S
148,0,3," Miss. Robina Maggie ""Ruby"" Ford",female,9,2,2,W./C. 6608,34.375,,S
149,0,2," Mr. Michel (""Louis M Hoffman"") Navratil",male,36.5,0,2,230080,26,F2,S
150,0,2," Rev. Thomas Roussel Davids Byles",male,42,0,0,244310,13,,S
151,0,2," Rev. Robert James Bateman",male,51,0,0,S.O.P. 1166,12.525,,S
152,1,1," Mrs. Thomas (Edith Wearne) Pears",female,22,1,0,113776,66.6,C2,S
153,0,3," Mr. Alfonzo Meo",male,55.5,0,0,A.5. 11206,8.05,,S
154,0,3," Mr. Austin Blyler van Billiard",male,40.5,0,2,A/5. 851,14.5,,S
155,0,3," Mr. Ole Martin Olsen",male,,0,0,Fa 265302,7.3125,,S
156,0,1," Mr. Charles Duane Williams",male,51,0,1,PC 17597,61.3792,,C
157,1,3," Miss. Katherine ""Katie"" Gilnagh",female,16,0,0,35851,7.7333,,Q
158,0,3," Mr. Harry Corn",male,30,0,0,SOTON/OQ 392090,8.05,,S
159,0,3," Mr. Mile Smiljanic",male,,0,0,315037,8.6625,,S
160,0,3," Master. Thomas Henry Sage",male,,8,2,CA. 2343,69.55,,S
161,0,3," Mr. John Hatfield Cribb",male,44,0,1,371362,16.1,,S
162,1,2," Mrs. James (Elizabeth ""Bessie"" Inglis Milne) Watt",female,40,0,0,C.A. 33595,15.75,,S
163,0,3," Mr. John Viktor Bengtsson",male,26,0,0,347068,7.775,,S
164,0,3," Mr. Jovo Calic",male,17,0,0,315093,8.6625,,S
165,0,3," Master. Eino Viljami Panula",male,1,4,1,3101295,39.6875,,S
166,1,3," Master. Frank John William ""Frankie"" Goldsmith",male,9,0,2,363291,20.525,,S
167,1,1," Mrs. (Edith Martha Bowerman) Chibnall",female,,0,1,113505,55,E33,S
168,0,3," Mrs. William (Anna Bernhardina Karlsson) Skoog",female,45,1,4,347088,27.9,,S
169,0,1," Mr. John D Baumann",male,,0,0,PC 17318,25.925,,S
170,0,3," Mr. Lee Ling",male,28,0,0,1601,56.4958,,S
171,0,1," Mr. Wyckoff Van der hoef",male,61,0,0,111240,33.5,B19,S
172,0,3," Master. Arthur Rice",male,4,4,1,382652,29.125,,Q
173,1,3," Miss. Eleanor Ileen Johnson",female,1,1,1,347742,11.1333,,S
174,0,3," Mr. Antti Wilhelm Sivola",male,21,0,0,STON/O 2. 3101280,7.925,,S
175,0,1," Mr. James Clinch Smith",male,56,0,0,17764,30.6958,A7,C
176,0,3," Mr. Klas Albin Klasen",male,18,1,1,350404,7.8542,,S
177,0,3," Master. Henry Forbes Lefebre",male,,3,1,4133,25.4667,,S
178,0,1," Miss. Ann Elizabeth Isham",female,50,0,0,PC 17595,28.7125,C49,C
179,0,2," Mr. Reginald Hale",male,30,0,0,250653,13,,S
180,0,3," Mr. Lionel Leonard",male,36,0,0,LINE,0,,S
181,0,3," Miss. Constance Gladys Sage",female,,8,2,CA. 2343,69.55,,S
182,0,2," Mr. Rene Pernot",male,,0,0,SC/PARIS 2131,15.05,,C
183,0,3," Master. Clarence Gustaf Hugo Asplund",male,9,4,2,347077,31.3875,,S
184,1,2," Master. Richard F Becker",male,1,2,1,230136,39,F4,S
185,1,3," Miss. Luise Gretchen Kink-Heilmann",female,4,0,2,315153,22.025,,S
186,0,1," Mr. Hugh Roscoe Rood",male,,0,0,113767,50,A32,S
187,1,3," Mrs. Thomas (Johanna ""Hannah"" Godfrey) O'Brien",female,,1,0,370365,15.5,,Q
188,1,1," Mr. Charles Hallace (""Mr C Rolmane"") Romaine",male,45,0,0,111428,26.55,,S
189,0,3," Mr. John Bourke",male,40,1,1,364849,15.5,,Q
190,0,3," Mr. Stjepan Turcin",male,36,0,0,349247,7.8958,,S
191,1,2," Mrs. (Rosa) Pinsky",female,32,0,0,234604,13,,S
192,0,2," Mr. William Carbines",male,19,0,0,28424,13,,S
193,1,3," Miss. Carla Christine Nielsine Andersen-Jensen",female,19,1,0,350046,7.8542,,S
194,1,2," Master. Michel M Navratil",male,3,1,1,230080,26,F2,S
195,1,1," Mrs. James Joseph (Margaret Tobin) Brown",female,44,0,0,PC 17610,27.7208,B4,C
196,1,1," Miss. Elise Lurette",female,58,0,0,PC 17569,146.5208,B80,C
197,0,3," Mr. Robert Mernagh",male,,0,0,368703,7.75,,Q
198,0,3," Mr. Karl Siegwart Andreas Olsen",male,42,0,1,4579,8.4042,,S
199,1,3," Miss. Margaret ""Maggie"" Madigan",female,,0,0,370370,7.75,,Q
200,0,2," Miss. Henriette (""Mrs Harbeck"") Yrois",female,24,0,0,248747,13,,S
201,0,3," Mr. Nestor Cyriel Vande Walle",male,28,0,0,345770,9.5,,S
202,0,3," Mr. Frederick Sage",male,,8,2,CA. 2343,69.55,,S
203,0,3," Mr. Jakob Alfred Johanson",male,34,0,0,3101264,6.4958,,S
204,0,3," Mr. Gerious Youseff",male,45.5,0,0,2628,7.225,,C
205,1,3," Mr. Gurshon ""Gus"" Cohen",male,18,0,0,A/5 3540,8.05,,S
206,0,3," Miss. Telma Matilda Strom",female,2,0,1,347054,10.4625,G6,S
207,0,3," Mr. Karl Alfred Backstrom",male,32,1,0,3101278,15.85,,S
208,1,3," Mr. Nassef Cassem Albimona",male,26,0,0,2699,18.7875,,C
209,1,3," Miss. Helen ""Ellen"" Carr",female,16,0,0,367231,7.75,,Q
210,1,1," Mr. Henry Blank",male,40,0,0,112277,31,A31,C
211,0,3," Mr. Ahmed Ali",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
212,1,2," Miss. Clear Annie Cameron",female,35,0,0,F.C.C. 13528,21,,S
213,0,3," Mr. John Henry Perkin",male,22,0,0,A/5 21174,7.25,,S
214,0,2," Mr. Hans Kristensen Givard",male,30,0,0,250646,13,,S
215,0,3," Mr. Philip Kiernan",male,,1,0,367229,7.75,,Q
216,1,1," Miss. Madeleine Newell",female,31,1,0,35273,113.275,D36,C
217,1,3," Miss. Eliina Honkanen",female,27,0,0,STON/O2. 3101283,7.925,,S
218,0,2," Mr. Sidney Samuel Jacobsohn",male,42,1,0,243847,27,,S
219,1,1," Miss. Albina Bazzani",female,32,0,0,11813,76.2917,D15,C
220,0,2," Mr. Walter Harris",male,30,0,0,W/C 14208,10.5,,S
221,1,3," Mr. Victor Francis Sunderland",male,16,0,0,SOTON/OQ 392089,8.05,,S
222,0,2," Mr. James H Bracken",male,27,0,0,220367,13,,S
223,0,3," Mr. George Henry Green",male,51,0,0,21440,8.05,,S
224,0,3," Mr. Christo Nenkoff",male,,0,0,349234,7.8958,,S
225,1,1," Mr. Frederick Maxfield Hoyt",male,38,1,0,19943,90,C93,S
226,0,3," Mr. Karl Ivar Sven Berglund",male,22,0,0,PP 4348,9.35,,S
227,1,2," Mr. William John Mellors",male,19,0,0,SW/PP 751,10.5,,S
228,0,3," Mr. John Hall (""Henry"") Lovell",male,20.5,0,0,A/5 21173,7.25,,S
229,0,2," Mr. Arne Jonas Fahlstrom",male,18,0,0,236171,13,,S
230,0,3," Miss. Mathilde Lefebre",female,,3,1,4133,25.4667,,S
231,1,1," Mrs. Henry Birkhardt (Irene Wallach) Harris",female,35,1,0,36973,83.475,C83,S
232,0,3," Mr. Bengt Edvin Larsson",male,29,0,0,347067,7.775,,S
233,0,2," Mr. Ernst Adolf Sjostedt",male,59,0,0,237442,13.5,,S
234,1,3," Miss. Lillian Gertrud Asplund",female,5,4,2,347077,31.3875,,S
235,0,2," Mr. Robert William Norman Leyson",male,24,0,0,C.A. 29566,10.5,,S
236,0,3," Miss. Alice Phoebe Harknett",female,,0,0,W./C. 6609,7.55,,S
237,0,2," Mr. Stephen Hold",male,44,1,0,26707,26,,S
238,1,2," Miss. Marjorie ""Lottie"" Collyer",female,8,0,2,C.A. 31921,26.25,,S
239,0,2," Mr. Frederick William Pengelly",male,19,0,0,28665,10.5,,S
240,0,2," Mr. George Henry Hunt",male,33,0,0,SCO/W 1585,12.275,,S
241,0,3," Miss. Thamine Zabour",female,,1,0,2665,14.4542,,C
242,1,3," Miss. Katherine ""Kate"" Murphy",female,,1,0,367230,15.5,,Q
243,0,2," Mr. Reginald Charles Coleridge",male,29,0,0,W./C. 14263,10.5,,S
244,0,3," Mr. Matti Alexanteri Maenpaa",male,22,0,0,STON/O 2. 3101275,7.125,,S
245,0,3," Mr. Sleiman Attalah",male,30,0,0,2694,7.225,,C
246,0,1," Dr. William Edward Minahan",male,44,2,0,19928,90,C78,Q
247,0,3," Miss. Agda Thorilda Viktoria Lindahl",female,25,0,0,347071,7.775,,S
248,1,2," Mrs. William (Anna) Hamalainen",female,24,0,2,250649,14.5,,S
249,1,1," Mr. Richard Leonard Beckwith",male,37,1,1,11751,52.5542,D35,S
250,0,2," Rev. Ernest Courtenay Carter",male,54,1,0,244252,26,,S
251,0,3," Mr. James George Reed",male,,0,0,362316,7.25,,S
252,0,3," Mrs. Wilhelm (Elna Matilda Persson) Strom",female,29,1,1,347054,10.4625,G6,S
253,0,1," Mr. William Thomas Stead",male,62,0,0,113514,26.55,C87,S
254,0,3," Mr. William Arthur Lobb",male,30,1,0,A/5. 3336,16.1,,S
255,0,3," Mrs. Viktor (Helena Wilhelmina) Rosblom",female,41,0,2,370129,20.2125,,S
256,1,3," Mrs. Darwis (Hanne Youssef Razi) Touma",female,29,0,2,2650,15.2458,,C
257,1,1," Mrs. Gertrude Maybelle Thorne",female,,0,0,PC 17585,79.2,,C
258,1,1," Miss. Gladys Cherry",female,30,0,0,110152,86.5,B77,S
259,1,1," Miss. Anna Ward",female,35,0,0,PC 17755,512.3292,,C
260,1,2," Mrs. (Lutie Davis) Parrish",female,50,0,1,230433,26,,S
261,0,3," Mr. Thomas Smith",male,,0,0,384461,7.75,,Q
262,1,3," Master. Edvin Rojj Felix Asplund",male,3,4,2,347077,31.3875,,S
263,0,1," Mr. Emil Taussig",male,52,1,1,110413,79.65,E67,S
264,0,1," Mr. William Harrison",male,40,0,0,112059,0,B94,S
265,0,3," Miss. Delia Henry",female,,0,0,382649,7.75,,Q
266,0,2," Mr. David Reeves",male,36,0,0,C.A. 17248,10.5,,S
267,0,3," Mr. Ernesti Arvid Panula",male,16,4,1,3101295,39.6875,,S
268,1,3," Mr. Ernst Ulrik Persson",male,25,1,0,347083,7.775,,S
269,1,1," Mrs. William Thompson (Edith Junkins) Graham",female,58,0,1,PC 17582,153.4625,C125,S
270,1,1," Miss. Amelia Bissette",female,35,0,0,PC 17760,135.6333,C99,S
271,0,1," Mr. Alexander Cairns",male,,0,0,113798,31,,S
272,1,3," Mr. William Henry Tornquist",male,25,0,0,LINE,0,,S
273,1,2," Mrs. (Elizabeth Anne Maidment) Mellinger",female,41,0,1,250644,19.5,,S
274,0,1," Mr. Charles H Natsch",male,37,0,1,PC 17596,29.7,C118,C
275,1,3," Miss. Hanora ""Nora"" Healy",female,,0,0,370375,7.75,,Q
276,1,1," Miss. Kornelia Theodosia Andrews",female,63,1,0,13502,77.9583,D7,S
277,0,3," Miss. Augusta Charlotta Lindblom",female,45,0,0,347073,7.75,,S
278,0,2," Mr. Francis ""Frank"" Parkes",male,,0,0,239853,0,,S
279,0,3," Master. Eric Rice",male,7,4,1,382652,29.125,,Q
280,1,3," Mrs. Stanton (Rosa Hunt) Abbott",female,35,1,1,C.A. 2673,20.25,,S
281,0,3," Mr. Frank Duane",male,65,0,0,336439,7.75,,Q
282,0,3," Mr. Nils Johan Goransson Olsson",male,28,0,0,347464,7.8542,,S
283,0,3," Mr. Alfons de Pelsmaeker",male,16,0,0,345778,9.5,,S
284,1,3," Mr. Edward Arthur Dorking",male,19,0,0,A/5. 10482,8.05,,S
285,0,1," Mr. Richard William Smith",male,,0,0,113056,26,A19,S
286,0,3," Mr. Ivan Stankovic",male,33,0,0,349239,8.6625,,C
287,1,3," Mr. Theodore de Mulder",male,30,0,0,345774,9.5,,S
288,0,3," Mr. Penko Naidenoff",male,22,0,0,349206,7.8958,,S
289,1,2," Mr. Masabumi Hosono",male,42,0,0,237798,13,,S
290,1,3," Miss. Kate Connolly",female,22,0,0,370373,7.75,,Q
291,1,1," Miss. Ellen ""Nellie"" Barber",female,26,0,0,19877,78.85,,S
292,1,1," Mrs. Dickinson H (Helen Walton) Bishop",female,19,1,0,11967,91.0792,B49,C
293,0,2," Mr. Rene Jacques Levy",male,36,0,0,SC/Paris 2163,12.875,D,C
294,0,3," Miss. Aloisia Haas",female,24,0,0,349236,8.85,,S
295,0,3," Mr. Ivan Mineff",male,24,0,0,349233,7.8958,,S
296,0,1," Mr. Ervin G Lewy",male,,0,0,PC 17612,27.7208,,C
297,0,3," Mr. Mansour Hanna",male,23.5,0,0,2693,7.2292,,C
298,0,1," Miss. Helen Loraine Allison",female,2,1,2,113781,151.55,C22 C26,S
299,1,1," Mr. Adolphe Saalfeld",male,,0,0,19988,30.5,C106,S
300,1,1," Mrs. James (Helene DeLaudeniere Chaput) Baxter",female,50,0,1,PC 17558,247.5208,B58 B60,C
301,1,3," Miss. Anna Katherine ""Annie Kate"" Kelly",female,,0,0,9234,7.75,,Q
302,1,3," Mr. Bernard McCoy",male,,2,0,367226,23.25,,Q
303,0,3," Mr. William Cahoone Jr Johnson",male,19,0,0,LINE,0,,S
304,1,2," Miss. Nora A Keane",female,,0,0,226593,12.35,E101,Q
305,0,3," Mr. Howard Hugh ""Harry"" Williams",male,,0,0,A/5 2466,8.05,,S
306,1,1," Master. Hudson Trevor Allison",male,0.92,1,2,113781,151.55,C22 C26,S
307,1,1," Miss. Margaret Fleming",female,,0,0,17421,110.8833,,C
308,1,1," Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana",female,17,1,0,PC 17758,108.9,C65,C
309,0,2," Mr. Samuel Abelson",male,30,1,0,P/PP 3381,24,,C
310,1,1," Miss. Laura Mabel Francatelli",female,30,0,0,PC 17485,56.9292,E36,C
311,1,1," Miss. Margaret Bechstein Hays",female,24,0,0,11767,83.1583,C54,C
312,1,1," Miss. Emily Borie Ryerson",female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C
313,0,2," Mrs. William (Anna Sylfven) Lahtinen",female,26,1,1,250651,26,,S
314,0,3," Mr. Ignjac Hendekovic",male,28,0,0,349243,7.8958,,S
315,0,2," Mr. Benjamin Hart",male,43,1,1,F.C.C. 13529,26.25,,S
316,1,3," Miss. Helmina Josefina Nilsson",female,26,0,0,347470,7.8542,,S
317,1,2," Mrs. Sinai (Miriam Sternin) Kantor",female,24,1,0,244367,26,,S
318,0,2," Dr. Ernest Moraweck",male,54,0,0,29011,14,,S
319,1,1," Miss. Mary Natalie Wick",female,31,0,2,36928,164.8667,C7,S
320,1,1," Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden",female,40,1,1,16966,134.5,E34,C
321,0,3," Mr. Samuel Dennis",male,22,0,0,A/5 21172,7.25,,S
322,0,3," Mr. Yoto Danoff",male,27,0,0,349219,7.8958,,S
323,1,2," Miss. Hilda Mary Slayter",female,30,0,0,234818,12.35,,Q
